Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MSL,ASW,LWK,ESN,GWD,ACB,YRI,synthetic_percentage,samples_and_percentage,model_name,accuracy,f1_score
152.0,152.0,,0.2264,0.2264,0.5567,0.3684,0.4186,0.3132,0.2619,0.8,"844
80%",NN,0.3571428571428571,0.3388163853363435
153.0,153.0,,0.2623,0.24,0.5591,0.32,0.4598,0.2535,0.2737,1.0,"1056
100%",NN,0.3533834586466165,0.3383443313061225
154.0,154.0,,0.1818,0.339,0.5682,0.3571,0.4554,0.303,0.3125,0.1,"105
10%",NN,0.3721804511278195,0.3595859650821533
155.0,155.0,,0.1,0.2308,0.4416,0.3235,0.3826,0.3582,0.3011,0.2,"211
20%",NN,0.3195488721804511,0.3053928576836625
156.0,156.0,,0.3077,0.125,0.5294,0.3836,0.4118,0.3437,0.274,0.3,"316
30%",NN,0.3571428571428571,0.3393075749794122
157.0,157.0,,0.2647,0.2917,0.5591,0.3385,0.5227,0.2817,0.2828,0.4,"422
40%",NN,0.3759398496240601,0.3630313669754298
158.0,158.0,,0.1667,0.0909,0.5688,0.4062,0.4,0.3902,0.2564,0.5,"528
50%",NN,0.3609022556390977,0.3256124651249399
159.0,159.0,,0.2812,0.1633,0.5524,0.4,0.3956,0.2,0.2524,0.6,"633
60%",NN,0.3458646616541353,0.3207039769391166
160.0,160.0,,0.2388,0.1224,0.6346,0.3437,0.4731,0.2899,0.2558,0.7,"739
70%",NN,0.3684210526315789,0.336915377125501
161.0,161.0,,0.2187,0.2041,0.6067,0.3333,0.5055,0.3077,0.2667,0.8,"844
80%",NN,0.3684210526315789,0.3489657169819403
162.0,162.0,,0.3333,0.2083,0.6122,0.3692,0.5641,0.3429,0.2574,1.0,"1056
100%",NN,0.3984962406015037,0.3839325404843691
163.0,163.0,,0.2903,0.0755,0.5773,0.3902,0.4865,0.2687,0.2667,0.1,"105
10%",NN,0.3721804511278195,0.3364525197710461
164.0,164.0,,0.2034,0.093,0.5607,0.3889,0.3965,0.2963,0.2716,0.2,"211
20%",NN,0.3533834586466165,0.3157860853526501
165.0,165.0,,0.2581,0.1304,0.5745,0.3704,0.4421,0.2857,0.3095,0.3,"316
30%",NN,0.3646616541353383,0.3386687303729245
166.0,166.0,,0.2667,0.2,0.5714,0.3171,0.3953,0.2857,0.2461,0.4,"422
40%",NN,0.3533834586466165,0.32605505398634
167.0,167.0,,0.0,0.0526,0.4176,0.3333,0.32,0.2981,0.2253,0.5,"528
50%",NN,0.2781954887218045,0.2352908697859869
168.0,168.0,,0.2903,0.1304,0.617,0.3421,0.4792,0.2609,0.3146,0.6,"633
60%",NN,0.3759398496240601,0.3477895537806554
169.0,169.0,,0.3457,0.2083,0.5882,0.3421,0.4524,0.4058,0.2778,0.7,"739
70%",NN,0.3947368421052631,0.3743298192232228
170.0,170.0,,0.3529,0.2553,0.6237,0.3421,0.475,0.3014,0.3579,0.8,"844
80%",NN,0.4022556390977443,0.3868980146284216
171.0,171.0,,0.3607,0.0976,0.5769,0.3371,0.4598,0.2609,0.2716,1.0,"1056
100%",NN,0.3684210526315789,0.3377804371935241
172.0,172.0,,0.0,0.186,0.2817,0.396,0.3796,0.3333,0.1622,0.1,"105
10%",NN,0.2894736842105263,0.2484048279606413
173.0,173.0,,0.2769,0.1887,0.5412,0.3951,0.4615,0.2564,0.2826,0.2,"211
20%",NN,0.3533834586466165,0.3431997049700407
174.0,174.0,,0.2333,0.05,0.5275,0.386,0.4792,0.25,0.3448,0.3,"316
30%",NN,0.3571428571428571,0.3243950037085893
175.0,175.0,,0.3125,0.0851,0.5743,0.3421,0.4197,0.2817,0.3043,0.4,"422
40%",NN,0.3571428571428571,0.3313943036044247
